Subject,Experiment,Classifier,Mean Accuracy (%),Std (%),Minimum (%),Maximum (%)
A01,fbcsp,LDA,88.1773,5.2827,82.7586,96.5517
A01,fbcsp,SVM,91.6749,3.0586,86.2069,93.1034
A01,fbcsp,Logistic Regression,93.7438,2.9018,89.6552,96.5517
A02,fbcsp,LDA,54.8030,11.2231,41.3793,68.9655
A02,fbcsp,SVM,58.2759,10.3735,44.8276,68.9655
A02,fbcsp,Logistic Regression,60.3695,12.2957,44.8276,75.8621
A03,fbcsp,LDA,83.3005,6.2998,75.8621,89.6552
A03,fbcsp,SVM,92.3399,2.9766,89.2857,96.5517
A03,fbcsp,Logistic Regression,94.4335,3.1136,89.6552,96.5517
A04,fbcsp,LDA,73.6453,8.1876,62.0690,82.7586
A04,fbcsp,SVM,72.2660,12.0911,55.1724,86.2069
A04,fbcsp,Logistic Regression,74.3103,7.1192,65.5172,82.7586
A05,fbcsp,LDA,69.3842,14.4922,51.7241,89.6552
A05,fbcsp,SVM,68.7192,13.2227,48.2759,82.7586
A05,fbcsp,Logistic Regression,72.8818,11.3916,55.1724,82.7586
A06,fbcsp,LDA,62.5123,6.5269,55.1724,72.4138
A06,fbcsp,SVM,66.6502,8.0108,58.6207,79.3103
A06,fbcsp,Logistic Regression,61.0837,7.6394,51.7241,72.4138
A07,fbcsp,LDA,77.0690,5.3001,68.9655,82.7586
A07,fbcsp,SVM,80.5665,5.1756,72.4138,86.2069
A07,fbcsp,Logistic Regression,80.5911,5.6554,72.4138,86.2069
A08,fbcsp,LDA,91.6256,5.3624,85.7143,100.0000
A08,fbcsp,SVM,94.4581,3.9158,89.6552,100.0000
A08,fbcsp,Logistic Regression,96.5517,3.4483,93.1034,100.0000
A09,fbcsp,LDA,67.4384,6.8489,62.0690,78.5714
A09,fbcsp,SVM,67.4384,8.0463,58.6207,78.5714
A09,fbcsp,Logistic Regression,69.5320,8.3524,62.0690,82.1429
