Subject,Classifier,Standard CSP (%),FBCSP (%),Improvement (%)
A01,LDA,53.1250,32.9861,-20.1389
A01,SVM,52.4306,33.6806,-18.7500
A01,Logistic Regression,53.8194,32.6389,-21.1806
A02,LDA,24.6528,32.6389,+7.9861
A02,SVM,28.1250,20.8333,-7.2917
A02,Logistic Regression,25.6944,29.5139,+3.8194
A03,LDA,61.8056,38.5417,-23.2639
A03,SVM,49.6528,34.7222,-14.9306
A03,Logistic Regression,62.5000,39.9306,-22.5694
A04,LDA,34.3750,36.8056,+2.4306
A04,SVM,30.9028,36.4583,+5.5556
A04,Logistic Regression,35.7639,35.7639,+0.0000
A05,LDA,25.3472,28.4722,+3.1250
A05,SVM,26.0417,26.0417,+0.0000
A05,Logistic Regression,25.6944,29.5139,+3.8194
A06,LDA,24.3056,28.1250,+3.8194
A06,SVM,22.2222,32.6389,+10.4167
A06,Logistic Regression,23.6111,28.4722,+4.8611
A07,LDA,29.5139,28.4722,-1.0417
A07,SVM,29.5139,33.6806,+4.1667
A07,Logistic Regression,28.8194,30.2083,+1.3889
A08,LDA,44.7917,34.7222,-10.0694
A08,SVM,34.3750,35.0694,+0.6944
A08,Logistic Regression,42.3611,34.7222,-7.6389
A09,LDA,40.2778,33.6806,-6.5972
A09,SVM,33.3333,26.7361,-6.5972
A09,Logistic Regression,39.9306,33.3333,-6.5972
