Subject,Classifier,Standard CSP (%),FBCSP (%),Improvement (percentage points),Result
A01,LDA,53.125,32.9861,-20.1389,DECREASED
A02,LDA,24.6528,32.6389,7.9861,IMPROVED
A03,LDA,61.8056,38.5417,-23.2639,DECREASED
A04,LDA,34.375,36.8056,2.4305999999999983,IMPROVED
A05,LDA,25.3472,28.4722,3.125,IMPROVED
A06,LDA,24.3056,28.125,3.8194000000000017,IMPROVED
A07,LDA,29.5139,28.4722,-1.0416999999999987,DECREASED
A08,LDA,44.7917,34.7222,-10.069499999999998,DECREASED
A09,LDA,40.2778,33.6806,-6.597200000000001,DECREASED
A01,SVM,52.4306,33.6806,-18.75,DECREASED
A02,SVM,28.125,20.8333,-7.291699999999999,DECREASED
A03,SVM,49.6528,34.7222,-14.930599999999998,DECREASED
A04,SVM,30.9028,36.4583,5.555500000000002,IMPROVED
A05,SVM,26.0417,26.0417,0.0,UNCHANGED
A06,SVM,22.2222,32.6389,10.416699999999999,IMPROVED
A07,SVM,29.5139,33.6806,4.166699999999999,IMPROVED
A08,SVM,34.375,35.0694,0.6944000000000017,IMPROVED
A09,SVM,33.3333,26.7361,-6.597200000000001,DECREASED
A01,Logistic Regression,53.8194,32.6389,-21.180500000000002,DECREASED
A02,Logistic Regression,25.6944,29.5139,3.819499999999998,IMPROVED
A03,Logistic Regression,62.5,39.9306,-22.5694,DECREASED
A04,Logistic Regression,35.7639,35.7639,0.0,UNCHANGED
A05,Logistic Regression,25.6944,29.5139,3.819499999999998,IMPROVED
A06,Logistic Regression,23.6111,28.4722,4.8611,IMPROVED
A07,Logistic Regression,28.8194,30.2083,1.3888999999999996,IMPROVED
A08,Logistic Regression,42.3611,34.7222,-7.6389,DECREASED
A09,Logistic Regression,39.9306,33.3333,-6.597299999999997,DECREASED
