Test Subject,Classifier,Accuracy (%)
A01,LDA,53.1250
A01,SVM,52.7778
A01,Logistic Regression,53.8194
A02,LDA,24.6528
A02,SVM,28.4722
A02,Logistic Regression,26.0417
A03,LDA,61.8056
A03,SVM,50.6944
A03,Logistic Regression,62.5000
A04,LDA,34.3750
A04,SVM,31.9444
A04,Logistic Regression,35.7639
A05,LDA,25.3472
A05,SVM,26.3889
A05,Logistic Regression,25.6944
A06,LDA,24.3056
A06,SVM,22.2222
A06,Logistic Regression,23.6111
A07,LDA,29.5139
A07,SVM,30.2083
A07,Logistic Regression,28.4722
A08,LDA,44.7917
A08,SVM,32.9861
A08,Logistic Regression,42.3611
A09,LDA,40.2778
A09,SVM,33.6806
A09,Logistic Regression,39.2361
