Subject,Experiment,Classifier,Mean Accuracy (%),Std (%),Minimum (%),Maximum (%)
A01,fbcsp,LDA,79.5039,6.5605,73.6842,89.6552
A01,fbcsp,SVM,80.9014,4.5710,75.8621,87.9310
A01,fbcsp,Logistic Regression,81.9359,4.0231,77.5862,87.9310
A02,fbcsp,LDA,68.0460,3.0116,64.9123,72.4138
A02,fbcsp,SVM,69.4192,3.4438,64.9123,72.4138
A02,fbcsp,Logistic Regression,66.6425,3.4066,63.1579,70.6897
A03,fbcsp,LDA,86.4549,1.4948,84.2105,87.9310
A03,fbcsp,SVM,88.1791,5.4372,82.4561,96.5517
A03,fbcsp,Logistic Regression,87.1446,3.6198,84.2105,93.1034
A04,fbcsp,LDA,57.3019,8.8643,48.2759,68.4211
A04,fbcsp,SVM,61.4701,5.9621,53.4483,68.4211
A04,fbcsp,Logistic Regression,58.6933,6.3564,52.6316,68.4211
A05,fbcsp,LDA,46.5154,6.1658,39.6552,53.4483
A05,fbcsp,SVM,44.4283,4.4560,39.6552,50.0000
A05,fbcsp,Logistic Regression,47.5560,8.5098,35.0877,56.1404
A06,fbcsp,LDA,48.2759,7.1423,40.3509,59.6491
A06,fbcsp,SVM,49.6189,6.4948,38.5965,55.1724
A06,fbcsp,Logistic Regression,49.6673,5.7347,43.1034,57.8947
A07,fbcsp,LDA,83.3515,3.7188,79.3103,89.4737
A07,fbcsp,SVM,84.0411,4.8934,77.5862,89.6552
A07,fbcsp,Logistic Regression,83.3515,3.2709,79.3103,87.7193
A08,fbcsp,LDA,81.2644,3.6988,78.9474,87.7193
A08,fbcsp,SVM,80.9377,4.9078,75.8621,87.7193
A08,fbcsp,Logistic Regression,80.5566,3.3121,75.8621,84.4828
A09,fbcsp,LDA,52.4924,9.7598,44.8276,68.4211
A09,fbcsp,SVM,55.2511,6.4162,48.2759,64.9123
A09,fbcsp,Logistic Regression,50.7381,8.0938,44.8276,64.9123
