Subject,Classifier,Standard CSP (%),FBCSP (%),Improvement (pp)
A01,LDA,72.5469,79.5039,6.957000000000008
A02,LDA,63.5088,68.046,4.537200000000006
A03,LDA,76.6909,86.4549,9.763999999999996
A04,LDA,48.2335,57.3019,9.068400000000004
A05,LDA,40.2964,46.5154,6.219000000000001
A06,LDA,44.1016,48.2759,4.174300000000002
A07,LDA,76.0496,83.3515,7.301900000000003
A08,LDA,73.6419,81.2644,7.622499999999988
A09,LDA,53.8838,52.4924,-1.3913999999999973
A01,SVM,75.3237,80.9014,5.577699999999993
A02,SVM,62.1234,69.4192,7.295800000000007
A03,SVM,74.9667,88.1791,13.212400000000002
A04,SVM,43.3696,61.4701,18.100500000000004
A05,SVM,36.8058,44.4283,7.622500000000002
A06,SVM,37.8584,49.6189,11.760499999999993
A07,SVM,77.4471,84.0411,6.593999999999994
A08,SVM,73.9746,80.9377,6.963100000000011
A09,SVM,54.5614,55.2511,0.689700000000002
A01,Logistic Regression,74.6219,81.9359,7.314000000000007
A02,Logistic Regression,62.4561,66.6425,4.186399999999999
A03,Logistic Regression,76.0012,87.1446,11.1434
A04,Logistic Regression,46.8421,58.6933,11.851199999999999
A05,Logistic Regression,39.2619,47.556,8.2941
A06,Logistic Regression,41.3188,49.6673,8.348499999999994
A07,Logistic Regression,74.6582,83.3515,8.693300000000008
A08,Logistic Regression,72.2505,80.5566,8.3061
A09,Logistic Regression,54.5735,50.7381,-3.8354
