Subject,Classifier,Standard CSP (%),FBCSP (%),Improvement (pp)
A01,LDA,72.5469,79.5039,6.9570
A01,SVM,75.3237,80.9014,5.5777
A01,Logistic Regression,74.6219,81.9359,7.3140
A02,LDA,63.5088,68.0460,4.5372
A02,SVM,62.1234,69.4192,7.2958
A02,Logistic Regression,62.4561,66.6425,4.1863
A03,LDA,76.6909,86.4549,9.7641
A03,SVM,74.9667,88.1791,13.2123
A03,Logistic Regression,76.0012,87.1446,11.1434
A04,LDA,48.2335,57.3019,9.0684
A04,SVM,43.3696,61.4701,18.1004
A04,Logistic Regression,46.8421,58.6933,11.8512
A05,LDA,40.2964,46.5154,6.2190
A05,SVM,36.8058,44.4283,7.6225
A05,Logistic Regression,39.2619,47.5560,8.2940
A06,LDA,44.1016,48.2759,4.1742
A06,SVM,37.8584,49.6189,11.7604
A06,Logistic Regression,41.3188,49.6673,8.3485
A07,LDA,76.0496,83.3515,7.3019
A07,SVM,77.4471,84.0411,6.5941
A07,Logistic Regression,74.6582,83.3515,8.6933
A08,LDA,73.6419,81.2644,7.6225
A08,SVM,73.9746,80.9377,6.9631
A08,Logistic Regression,72.2505,80.5566,8.3061
A09,LDA,53.8838,52.4924,-1.3914
A09,SVM,54.5614,55.2511,0.6897
A09,Logistic Regression,54.5735,50.7381,-3.8355
