Subject,Experiment,Classifier,Mean Accuracy (%),Std (%),Minimum (%),Maximum (%)
A01,baseline,LDA,72.5469,8.6645,67.2414,87.9310
A01,baseline,SVM,75.3237,5.8183,66.6667,82.7586
A01,baseline,Logistic Regression,74.6219,5.3457,66.6667,81.0345
A02,baseline,LDA,63.5088,10.3158,52.6316,75.8621
A02,baseline,SVM,62.1234,9.6185,49.1228,72.4138
A02,baseline,Logistic Regression,62.4561,11.4377,50.8772,74.1379
A03,baseline,LDA,76.6909,8.9062,63.1579,87.9310
A03,baseline,SVM,74.9667,5.7859,64.9123,79.3103
A03,baseline,Logistic Regression,76.0012,7.7996,63.1579,84.4828
A04,baseline,LDA,48.2335,7.1187,42.1053,60.3448
A04,baseline,SVM,43.3696,5.1602,35.0877,48.2759
A04,baseline,Logistic Regression,46.8421,7.0648,42.1053,58.6207
A05,baseline,Logistic Regression,39.2619,4.2972,34.4828,45.6140
A05,baseline,SVM,36.8058,3.7318,31.0345,39.6552
A05,baseline,LDA,40.2964,3.7847,36.2069,43.8596
A06,baseline,LDA,44.1016,2.6957,41.3793,47.3684
A06,baseline,SVM,37.8584,7.0159,29.8246,49.1228
A06,baseline,Logistic Regression,41.3188,4.7741,34.4828,46.5517
A07,baseline,LDA,76.0496,4.4069,68.9655,81.0345
A07,baseline,SVM,77.4471,4.7886,68.9655,80.7018
A07,baseline,Logistic Regression,74.6582,4.4766,68.9655,79.3103
A08,baseline,LDA,73.6419,4.6028,67.2414,78.9474
A08,baseline,SVM,73.9746,4.2813,67.2414,77.5862
A08,baseline,Logistic Regression,72.2505,3.8279,68.9655,77.1930
A09,baseline,LDA,53.8838,9.5898,44.8276,68.4211
A09,baseline,SVM,54.5614,7.6514,44.8276,64.9123
A09,baseline,Logistic Regression,54.5735,8.8729,46.5517,68.4211
