Test Subject,Classifier,Standard CSP (%),FBCSP (%),Improvement (pp)
A01,LDA,53.1250,45.4861,-7.6389
A01,Logistic Regression,53.8194,45.1389,-8.6805
A01,SVM,52.7778,43.0556,-9.7222
A02,LDA,24.6528,27.0833,2.4305
A02,Logistic Regression,26.0417,26.3889,0.3472
A02,SVM,28.4722,20.4861,-7.9861
A03,LDA,61.8056,52.4306,-9.3750
A03,Logistic Regression,62.5000,53.4722,-9.0278
A03,SVM,50.6944,46.8750,-3.8194
A04,LDA,34.3750,27.7778,-6.5972
A04,Logistic Regression,35.7639,29.1667,-6.5972
A04,SVM,31.9444,37.8472,5.9028
A05,Logistic Regression,25.6944,24.3056,-1.3888
A05,SVM,26.3889,22.5694,-3.8195
A05,LDA,25.3472,25.0000,-0.3472
A06,SVM,22.2222,30.2083,7.9861
A06,LDA,24.3056,32.9861,8.6805
A06,Logistic Regression,23.6111,34.0278,10.4167
A07,SVM,30.2083,32.2917,2.0834
A07,LDA,29.5139,32.6389,3.1250
A07,Logistic Regression,28.4722,34.3750,5.9028
A08,SVM,32.9861,37.8472,4.8611
A08,LDA,44.7917,44.0972,-0.6945
A08,Logistic Regression,42.3611,44.0972,1.7361
A09,SVM,33.6806,37.5000,3.8194
A09,LDA,40.2778,46.1806,5.9028
A09,Logistic Regression,39.2361,47.2222,7.9861
